COD_EAP;DESCRICAO_DO_SERVICO;DISCIPLINA;UNIDADE;QUANTIDADE_TOTAL;PRANCHA_REFERENCIA;STATUS
1.4.5;Armadura das vigas V109, V112, V113, V114 e V115 — CA-50;Estrutura de concreto armado;kg;0.0;AÇU-3.DES-2.3100-11-EGS-057 rev.A.pdf;NAO_LEVANTADO
1.4.5;Armadura da viga V109 — CA-50;Estrutura de concreto armado;kg;0.0;AÇU-3.DES-2.3100-11-EGS-057 rev.A.pdf;PENDENTE_RFI
1.4.5;Armadura da viga V112 — CA-50;Estrutura de concreto armado;kg;0.0;AÇU-3.DES-2.3100-11-EGS-057 rev.A.pdf;PENDENTE_RFI
1.4.5;Armadura da viga V113 — CA-50;Estrutura de concreto armado;kg;0.0;AÇU-3.DES-2.3100-11-EGS-057 rev.A.pdf;PENDENTE_RFI
1.4.5;Armadura da viga V114 — CA-50;Estrutura de concreto armado;kg;0.0;AÇU-3.DES-2.3100-11-EGS-057 rev.A.pdf;PENDENTE_RFI
1.4.5;Armadura da viga V115 — CA-50;Estrutura de concreto armado;kg;0.0;AÇU-3.DES-2.3100-11-EGS-057 rev.A.pdf;PENDENTE_RFI
1.4.6;Armadura das vigotas treliçadas da laje de cobertura — VT1a a VT27a, TR16745, CA-60;Estrutura de concreto armado;kg;0.0;AÇU-3.DES-2.3100-11-EGS-059 rev.A.pdf;NAO_LEVANTADO
1.4.6;Armadura total das vigotas treliçadas VT1a a VT27a — TR16745, CA-60;Estrutura de concreto armado;kg;999.8;AÇU-3.DES-2.3100-11-EGS-059 rev.A.pdf;LEVANTADO
1.4.7;Fôrma lateral da viga V101 — seção 20 x 50 cm;Estrutura de concreto armado;m²;11.21;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.7;Fôrma lateral da viga V103 — seção 20 x 50 cm;Estrutura de concreto armado;m²;11.21;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.7;Fôrma lateral da viga V106 — seção 20 x 50 cm;Estrutura de concreto armado;m²;11.21;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.7;Fôrma lateral da viga V110 — seção 20 x 50 cm;Estrutura de concreto armado;m²;28.0;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.7;Fôrma lateral da viga V111 — seção 20 x 50 cm;Estrutura de concreto armado;m²;28.0;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.7;Fôrma lateral da viga V109 — seção 20 x 50 cm;Estrutura de concreto armado;m²;0.0;AÇU-3.DES-2.3100-11-EGS-057 rev.A.pdf;PENDENTE_RFI
1.4.7;Fôrma lateral da viga V112 — seção 20 x 50 cm;Estrutura de concreto armado;m²;0.0;AÇU-3.DES-2.3100-11-EGS-057 rev.A.pdf;PENDENTE_RFI
1.4.7;Fôrma lateral da viga V113 — seção 20 x 50 cm;Estrutura de concreto armado;m²;0.0;AÇU-3.DES-2.3100-11-EGS-057 rev.A.pdf;PENDENTE_RFI
1.4.7;Fôrma lateral da viga V114 — seção 20 x 50 cm;Estrutura de concreto armado;m²;0.0;AÇU-3.DES-2.3100-11-EGS-057 rev.A.pdf;PENDENTE_RFI
1.4.7;Fôrma lateral da viga V115 — seção 20 x 50 cm;Estrutura de concreto armado;m²;0.0;AÇU-3.DES-2.3100-11-EGS-057 rev.A.pdf;PENDENTE_RFI
1.4.8;Concreto C30 das vigas V101, V103, V106, V110 e V111 — seção 20 x 50 cm;Estrutura de concreto armado;m³;0.0;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;NAO_LEVANTADO
1.4.8;Concreto C30 da viga V101 — seção 20 x 50 cm;Estrutura de concreto armado;m³;1.121;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.8;Concreto C30 da viga V103 — seção 20 x 50 cm;Estrutura de concreto armado;m³;1.121;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.8;Concreto C30 da viga V106 — seção 20 x 50 cm;Estrutura de concreto armado;m³;1.121;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.8;Concreto C30 da viga V110 — seção 20 x 50 cm;Estrutura de concreto armado;m³;2.8;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.8;Concreto C30 da viga V111 — seção 20 x 50 cm;Estrutura de concreto armado;m³;2.8;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;LEVANTADO
1.4.8;Concreto C30 das vigas V109, V112, V113, V114 e V115 — seção 20 x 50 cm;Estrutura de concreto armado;m³;0.0;AÇU-3.DES-2.3100-11-EGS-057 rev.A.pdf;NAO_LEVANTADO
1.4.8;Concreto C30 da viga V109 — seção 20 x 50 cm;Estrutura de concreto armado;m³;0.0;AÇU-3.DES-2.3100-11-EGS-057 rev.A.pdf;PENDENTE_RFI
1.4.8;Concreto C30 da viga V112 — seção 20 x 50 cm;Estrutura de concreto armado;m³;0.0;AÇU-3.DES-2.3100-11-EGS-057 rev.A.pdf;PENDENTE_RFI
1.4.8;Concreto C30 da viga V113 — seção 20 x 50 cm;Estrutura de concreto armado;m³;0.0;AÇU-3.DES-2.3100-11-EGS-057 rev.A.pdf;PENDENTE_RFI
1.4.8;Concreto C30 da viga V114 — seção 20 x 50 cm;Estrutura de concreto armado;m³;0.0;AÇU-3.DES-2.3100-11-EGS-057 rev.A.pdf;PENDENTE_RFI
1.4.8;Concreto C30 da viga V115 — seção 20 x 50 cm;Estrutura de concreto armado;m³;0.0;AÇU-3.DES-2.3100-11-EGS-057 rev.A.pdf;PENDENTE_RFI
